imgs,segs
HGG\flair\patient147_slice073.png,HGG\seg\patient147_slice073.png
HGG\flair\patient222_slice082.png,HGG\seg\patient222_slice082.png
HGG\flair\patient162_slice097.png,HGG\seg\patient162_slice097.png
HGG\flair\patient060_slice096.png,HGG\seg\patient060_slice096.png
HGG\flair\patient156_slice104.png,HGG\seg\patient156_slice104.png
HGG\flair\patient164_slice096.png,HGG\seg\patient164_slice096.png
HGG\flair\patient111_slice073.png,HGG\seg\patient111_slice073.png
HGG\flair\patient057_slice080.png,HGG\seg\patient057_slice080.png
HGG\flair\patient201_slice075.png,HGG\seg\patient201_slice075.png
LGG\flair\patient076_slice103.png,LGG\seg\patient076_slice103.png
HGG\flair\patient072_slice075.png,HGG\seg\patient072_slice075.png
LGG\flair\patient046_slice090.png,LGG\seg\patient046_slice090.png
HGG\flair\patient184_slice071.png,HGG\seg\patient184_slice071.png
HGG\flair\patient107_slice086.png,HGG\seg\patient107_slice086.png
LGG\flair\patient053_slice096.png,LGG\seg\patient053_slice096.png
HGG\flair\patient254_slice118.png,HGG\seg\patient254_slice118.png
HGG\flair\patient252_slice110.png,HGG\seg\patient252_slice110.png
HGG\flair\patient089_slice108.png,HGG\seg\patient089_slice108.png
HGG\flair\patient248_slice074.png,HGG\seg\patient248_slice074.png
HGG\flair\patient192_slice108.png,HGG\seg\patient192_slice108.png
HGG\flair\patient069_slice072.png,HGG\seg\patient069_slice072.png
HGG\flair\patient091_slice093.png,HGG\seg\patient091_slice093.png
HGG\flair\patient192_slice116.png,HGG\seg\patient192_slice116.png
HGG\flair\patient187_slice090.png,HGG\seg\patient187_slice090.png
HGG\flair\patient188_slice113.png,HGG\seg\patient188_slice113.png
LGG\flair\patient019_slice106.png,LGG\seg\patient019_slice106.png
LGG\flair\patient053_slice117.png,LGG\seg\patient053_slice117.png
HGG\flair\patient076_slice099.png,HGG\seg\patient076_slice099.png
HGG\flair\patient093_slice103.png,HGG\seg\patient093_slice103.png
LGG\flair\patient030_slice071.png,LGG\seg\patient030_slice071.png
HGG\flair\patient086_slice086.png,HGG\seg\patient086_slice086.png
HGG\flair\patient010_slice097.png,HGG\seg\patient010_slice097.png
HGG\flair\patient094_slice119.png,HGG\seg\patient094_slice119.png
HGG\flair\patient070_slice072.png,HGG\seg\patient070_slice072.png
HGG\flair\patient194_slice086.png,HGG\seg\patient194_slice086.png
HGG\flair\patient023_slice102.png,HGG\seg\patient023_slice102.png
LGG\flair\patient055_slice101.png,LGG\seg\patient055_slice101.png
HGG\flair\patient179_slice111.png,HGG\seg\patient179_slice111.png
HGG\flair\patient257_slice081.png,HGG\seg\patient257_slice081.png
LGG\flair\patient028_slice074.png,LGG\seg\patient028_slice074.png
HGG\flair\patient054_slice118.png,HGG\seg\patient054_slice118.png
HGG\flair\patient108_slice075.png,HGG\seg\patient108_slice075.png
HGG\flair\patient208_slice093.png,HGG\seg\patient208_slice093.png
LGG\flair\patient019_slice095.png,LGG\seg\patient019_slice095.png
HGG\flair\patient029_slice110.png,HGG\seg\patient029_slice110.png
HGG\flair\patient159_slice090.png,HGG\seg\patient159_slice090.png
HGG\flair\patient205_slice093.png,HGG\seg\patient205_slice093.png
HGG\flair\patient024_slice087.png,HGG\seg\patient024_slice087.png
LGG\flair\patient047_slice099.png,LGG\seg\patient047_slice099.png
HGG\flair\patient036_slice093.png,HGG\seg\patient036_slice093.png
HGG\flair\patient079_slice088.png,HGG\seg\patient079_slice088.png
HGG\flair\patient014_slice103.png,HGG\seg\patient014_slice103.png
HGG\flair\patient251_slice103.png,HGG\seg\patient251_slice103.png
HGG\flair\patient002_slice090.png,HGG\seg\patient002_slice090.png
HGG\flair\patient053_slice102.png,HGG\seg\patient053_slice102.png
LGG\flair\patient040_slice106.png,LGG\seg\patient040_slice106.png
HGG\flair\patient057_slice101.png,HGG\seg\patient057_slice101.png
HGG\flair\patient231_slice091.png,HGG\seg\patient231_slice091.png
HGG\flair\patient092_slice077.png,HGG\seg\patient092_slice077.png
HGG\flair\patient111_slice102.png,HGG\seg\patient111_slice102.png
HGG\flair\patient146_slice088.png,HGG\seg\patient146_slice088.png
HGG\flair\patient231_slice084.png,HGG\seg\patient231_slice084.png
HGG\flair\patient183_slice114.png,HGG\seg\patient183_slice114.png
LGG\flair\patient054_slice109.png,LGG\seg\patient054_slice109.png
HGG\flair\patient016_slice083.png,HGG\seg\patient016_slice083.png
HGG\flair\patient221_slice080.png,HGG\seg\patient221_slice080.png
HGG\flair\patient133_slice089.png,HGG\seg\patient133_slice089.png
HGG\flair\patient110_slice118.png,HGG\seg\patient110_slice118.png
HGG\flair\patient228_slice089.png,HGG\seg\patient228_slice089.png
HGG\flair\patient054_slice079.png,HGG\seg\patient054_slice079.png
HGG\flair\patient175_slice100.png,HGG\seg\patient175_slice100.png
HGG\flair\patient238_slice109.png,HGG\seg\patient238_slice109.png
LGG\flair\patient006_slice077.png,LGG\seg\patient006_slice077.png
HGG\flair\patient134_slice083.png,HGG\seg\patient134_slice083.png
HGG\flair\patient239_slice075.png,HGG\seg\patient239_slice075.png
HGG\flair\patient228_slice088.png,HGG\seg\patient228_slice088.png
LGG\flair\patient066_slice094.png,LGG\seg\patient066_slice094.png
HGG\flair\patient024_slice070.png,HGG\seg\patient024_slice070.png
HGG\flair\patient033_slice087.png,HGG\seg\patient033_slice087.png
HGG\flair\patient174_slice107.png,HGG\seg\patient174_slice107.png
HGG\flair\patient013_slice103.png,HGG\seg\patient013_slice103.png
HGG\flair\patient258_slice092.png,HGG\seg\patient258_slice092.png
HGG\flair\patient205_slice090.png,HGG\seg\patient205_slice090.png
LGG\flair\patient039_slice109.png,LGG\seg\patient039_slice109.png
HGG\flair\patient030_slice090.png,HGG\seg\patient030_slice090.png
HGG\flair\patient006_slice086.png,HGG\seg\patient006_slice086.png
HGG\flair\patient255_slice096.png,HGG\seg\patient255_slice096.png
HGG\flair\patient135_slice098.png,HGG\seg\patient135_slice098.png
HGG\flair\patient010_slice110.png,HGG\seg\patient010_slice110.png
HGG\flair\patient127_slice104.png,HGG\seg\patient127_slice104.png
HGG\flair\patient149_slice072.png,HGG\seg\patient149_slice072.png
LGG\flair\patient011_slice112.png,LGG\seg\patient011_slice112.png
LGG\flair\patient041_slice100.png,LGG\seg\patient041_slice100.png
HGG\flair\patient214_slice080.png,HGG\seg\patient214_slice080.png
HGG\flair\patient054_slice114.png,HGG\seg\patient054_slice114.png
HGG\flair\patient034_slice074.png,HGG\seg\patient034_slice074.png
HGG\flair\patient234_slice087.png,HGG\seg\patient234_slice087.png
HGG\flair\patient163_slice107.png,HGG\seg\patient163_slice107.png
HGG\flair\patient079_slice101.png,HGG\seg\patient079_slice101.png
LGG\flair\patient063_slice091.png,LGG\seg\patient063_slice091.png
LGG\flair\patient054_slice077.png,LGG\seg\patient054_slice077.png
LGG\flair\patient014_slice094.png,LGG\seg\patient014_slice094.png
LGG\flair\patient019_slice089.png,LGG\seg\patient019_slice089.png
HGG\flair\patient181_slice094.png,HGG\seg\patient181_slice094.png
HGG\flair\patient152_slice086.png,HGG\seg\patient152_slice086.png
LGG\flair\patient032_slice101.png,LGG\seg\patient032_slice101.png
HGG\flair\patient103_slice087.png,HGG\seg\patient103_slice087.png
LGG\flair\patient075_slice073.png,LGG\seg\patient075_slice073.png
LGG\flair\patient024_slice110.png,LGG\seg\patient024_slice110.png
HGG\flair\patient121_slice094.png,HGG\seg\patient121_slice094.png
HGG\flair\patient206_slice076.png,HGG\seg\patient206_slice076.png
HGG\flair\patient114_slice085.png,HGG\seg\patient114_slice085.png
LGG\flair\patient032_slice103.png,LGG\seg\patient032_slice103.png
HGG\flair\patient076_slice090.png,HGG\seg\patient076_slice090.png
LGG\flair\patient067_slice096.png,LGG\seg\patient067_slice096.png
LGG\flair\patient006_slice080.png,LGG\seg\patient006_slice080.png
HGG\flair\patient133_slice088.png,HGG\seg\patient133_slice088.png
HGG\flair\patient231_slice076.png,HGG\seg\patient231_slice076.png
HGG\flair\patient080_slice090.png,HGG\seg\patient080_slice090.png
LGG\flair\patient054_slice099.png,LGG\seg\patient054_slice099.png
HGG\flair\patient107_slice098.png,HGG\seg\patient107_slice098.png
LGG\flair\patient016_slice091.png,LGG\seg\patient016_slice091.png
HGG\flair\patient243_slice082.png,HGG\seg\patient243_slice082.png
LGG\flair\patient040_slice104.png,LGG\seg\patient040_slice104.png
HGG\flair\patient010_slice086.png,HGG\seg\patient010_slice086.png
HGG\flair\patient230_slice079.png,HGG\seg\patient230_slice079.png
HGG\flair\patient199_slice095.png,HGG\seg\patient199_slice095.png
HGG\flair\patient242_slice078.png,HGG\seg\patient242_slice078.png
LGG\flair\patient052_slice097.png,LGG\seg\patient052_slice097.png
HGG\flair\patient033_slice103.png,HGG\seg\patient033_slice103.png
LGG\flair\patient036_slice096.png,LGG\seg\patient036_slice096.png
HGG\flair\patient170_slice088.png,HGG\seg\patient170_slice088.png
LGG\flair\patient049_slice070.png,LGG\seg\patient049_slice070.png
LGG\flair\patient057_slice081.png,LGG\seg\patient057_slice081.png
HGG\flair\patient125_slice089.png,HGG\seg\patient125_slice089.png
HGG\flair\patient151_slice073.png,HGG\seg\patient151_slice073.png
HGG\flair\patient082_slice100.png,HGG\seg\patient082_slice100.png
HGG\flair\patient212_slice106.png,HGG\seg\patient212_slice106.png
HGG\flair\patient089_slice095.png,HGG\seg\patient089_slice095.png
HGG\flair\patient128_slice101.png,HGG\seg\patient128_slice101.png
HGG\flair\patient214_slice075.png,HGG\seg\patient214_slice075.png
HGG\flair\patient051_slice084.png,HGG\seg\patient051_slice084.png
HGG\flair\patient179_slice081.png,HGG\seg\patient179_slice081.png
HGG\flair\patient017_slice071.png,HGG\seg\patient017_slice071.png
HGG\flair\patient124_slice109.png,HGG\seg\patient124_slice109.png
HGG\flair\patient140_slice081.png,HGG\seg\patient140_slice081.png
HGG\flair\patient135_slice093.png,HGG\seg\patient135_slice093.png
HGG\flair\patient141_slice084.png,HGG\seg\patient141_slice084.png
HGG\flair\patient220_slice113.png,HGG\seg\patient220_slice113.png
HGG\flair\patient013_slice105.png,HGG\seg\patient013_slice105.png
HGG\flair\patient046_slice087.png,HGG\seg\patient046_slice087.png
HGG\flair\patient138_slice102.png,HGG\seg\patient138_slice102.png
HGG\flair\patient043_slice091.png,HGG\seg\patient043_slice091.png
HGG\flair\patient258_slice095.png,HGG\seg\patient258_slice095.png
HGG\flair\patient121_slice096.png,HGG\seg\patient121_slice096.png
HGG\flair\patient091_slice073.png,HGG\seg\patient091_slice073.png
HGG\flair\patient062_slice115.png,HGG\seg\patient062_slice115.png
LGG\flair\patient007_slice113.png,LGG\seg\patient007_slice113.png
HGG\flair\patient087_slice076.png,HGG\seg\patient087_slice076.png
LGG\flair\patient022_slice112.png,LGG\seg\patient022_slice112.png
HGG\flair\patient081_slice072.png,HGG\seg\patient081_slice072.png
HGG\flair\patient145_slice075.png,HGG\seg\patient145_slice075.png
HGG\flair\patient059_slice075.png,HGG\seg\patient059_slice075.png
LGG\flair\patient070_slice085.png,LGG\seg\patient070_slice085.png
HGG\flair\patient225_slice092.png,HGG\seg\patient225_slice092.png
HGG\flair\patient018_slice111.png,HGG\seg\patient018_slice111.png
LGG\flair\patient062_slice078.png,LGG\seg\patient062_slice078.png
LGG\flair\patient059_slice072.png,LGG\seg\patient059_slice072.png
LGG\flair\patient014_slice098.png,LGG\seg\patient014_slice098.png
HGG\flair\patient140_slice084.png,HGG\seg\patient140_slice084.png
LGG\flair\patient009_slice077.png,LGG\seg\patient009_slice077.png
HGG\flair\patient074_slice094.png,HGG\seg\patient074_slice094.png
HGG\flair\patient242_slice089.png,HGG\seg\patient242_slice089.png
LGG\flair\patient067_slice091.png,LGG\seg\patient067_slice091.png
HGG\flair\patient009_slice080.png,HGG\seg\patient009_slice080.png
HGG\flair\patient161_slice099.png,HGG\seg\patient161_slice099.png
LGG\flair\patient030_slice081.png,LGG\seg\patient030_slice081.png
HGG\flair\patient016_slice119.png,HGG\seg\patient016_slice119.png
LGG\flair\patient023_slice074.png,LGG\seg\patient023_slice074.png
HGG\flair\patient159_slice115.png,HGG\seg\patient159_slice115.png
HGG\flair\patient044_slice089.png,HGG\seg\patient044_slice089.png
HGG\flair\patient140_slice090.png,HGG\seg\patient140_slice090.png
HGG\flair\patient162_slice084.png,HGG\seg\patient162_slice084.png
LGG\flair\patient014_slice103.png,LGG\seg\patient014_slice103.png
HGG\flair\patient032_slice079.png,HGG\seg\patient032_slice079.png
HGG\flair\patient004_slice104.png,HGG\seg\patient004_slice104.png
HGG\flair\patient210_slice085.png,HGG\seg\patient210_slice085.png
HGG\flair\patient170_slice118.png,HGG\seg\patient170_slice118.png
HGG\flair\patient242_slice082.png,HGG\seg\patient242_slice082.png
HGG\flair\patient047_slice072.png,HGG\seg\patient047_slice072.png
HGG\flair\patient018_slice096.png,HGG\seg\patient018_slice096.png
HGG\flair\patient088_slice084.png,HGG\seg\patient088_slice084.png
LGG\flair\patient039_slice114.png,LGG\seg\patient039_slice114.png
HGG\flair\patient017_slice077.png,HGG\seg\patient017_slice077.png
LGG\flair\patient067_slice087.png,LGG\seg\patient067_slice087.png
HGG\flair\patient219_slice076.png,HGG\seg\patient219_slice076.png
HGG\flair\patient051_slice083.png,HGG\seg\patient051_slice083.png
HGG\flair\patient127_slice070.png,HGG\seg\patient127_slice070.png
HGG\flair\patient098_slice074.png,HGG\seg\patient098_slice074.png
HGG\flair\patient192_slice105.png,HGG\seg\patient192_slice105.png
LGG\flair\patient044_slice117.png,LGG\seg\patient044_slice117.png
HGG\flair\patient020_slice097.png,HGG\seg\patient020_slice097.png
HGG\flair\patient069_slice106.png,HGG\seg\patient069_slice106.png
LGG\flair\patient027_slice089.png,LGG\seg\patient027_slice089.png
HGG\flair\patient103_slice104.png,HGG\seg\patient103_slice104.png
HGG\flair\patient203_slice098.png,HGG\seg\patient203_slice098.png
HGG\flair\patient192_slice081.png,HGG\seg\patient192_slice081.png
HGG\flair\patient025_slice104.png,HGG\seg\patient025_slice104.png
LGG\flair\patient045_slice097.png,LGG\seg\patient045_slice097.png
LGG\flair\patient060_slice096.png,LGG\seg\patient060_slice096.png
HGG\flair\patient020_slice088.png,HGG\seg\patient020_slice088.png
HGG\flair\patient125_slice109.png,HGG\seg\patient125_slice109.png
HGG\flair\patient131_slice076.png,HGG\seg\patient131_slice076.png
HGG\flair\patient174_slice112.png,HGG\seg\patient174_slice112.png
HGG\flair\patient180_slice076.png,HGG\seg\patient180_slice076.png
LGG\flair\patient003_slice090.png,LGG\seg\patient003_slice090.png
HGG\flair\patient244_slice077.png,HGG\seg\patient244_slice077.png
LGG\flair\patient075_slice113.png,LGG\seg\patient075_slice113.png
HGG\flair\patient078_slice084.png,HGG\seg\patient078_slice084.png
HGG\flair\patient257_slice073.png,HGG\seg\patient257_slice073.png
HGG\flair\patient083_slice106.png,HGG\seg\patient083_slice106.png
HGG\flair\patient093_slice095.png,HGG\seg\patient093_slice095.png
HGG\flair\patient103_slice117.png,HGG\seg\patient103_slice117.png
LGG\flair\patient075_slice111.png,LGG\seg\patient075_slice111.png
HGG\flair\patient048_slice074.png,HGG\seg\patient048_slice074.png
HGG\flair\patient164_slice070.png,HGG\seg\patient164_slice070.png
HGG\flair\patient066_slice094.png,HGG\seg\patient066_slice094.png
HGG\flair\patient159_slice093.png,HGG\seg\patient159_slice093.png
HGG\flair\patient166_slice073.png,HGG\seg\patient166_slice073.png
LGG\flair\patient020_slice083.png,LGG\seg\patient020_slice083.png
HGG\flair\patient033_slice098.png,HGG\seg\patient033_slice098.png
HGG\flair\patient150_slice077.png,HGG\seg\patient150_slice077.png
HGG\flair\patient043_slice108.png,HGG\seg\patient043_slice108.png
HGG\flair\patient030_slice085.png,HGG\seg\patient030_slice085.png
HGG\flair\patient244_slice073.png,HGG\seg\patient244_slice073.png
HGG\flair\patient198_slice119.png,HGG\seg\patient198_slice119.png
HGG\flair\patient229_slice077.png,HGG\seg\patient229_slice077.png
HGG\flair\patient183_slice112.png,HGG\seg\patient183_slice112.png
HGG\flair\patient026_slice076.png,HGG\seg\patient026_slice076.png
HGG\flair\patient151_slice101.png,HGG\seg\patient151_slice101.png
HGG\flair\patient084_slice070.png,HGG\seg\patient084_slice070.png
HGG\flair\patient094_slice077.png,HGG\seg\patient094_slice077.png
LGG\flair\patient056_slice110.png,LGG\seg\patient056_slice110.png
HGG\flair\patient116_slice106.png,HGG\seg\patient116_slice106.png
LGG\flair\patient069_slice109.png,LGG\seg\patient069_slice109.png
HGG\flair\patient009_slice107.png,HGG\seg\patient009_slice107.png
LGG\flair\patient002_slice118.png,LGG\seg\patient002_slice118.png
LGG\flair\patient014_slice075.png,LGG\seg\patient014_slice075.png
HGG\flair\patient210_slice109.png,HGG\seg\patient210_slice109.png
HGG\flair\patient058_slice092.png,HGG\seg\patient058_slice092.png
HGG\flair\patient182_slice076.png,HGG\seg\patient182_slice076.png
HGG\flair\patient132_slice096.png,HGG\seg\patient132_slice096.png
LGG\flair\patient047_slice091.png,LGG\seg\patient047_slice091.png
HGG\flair\patient036_slice076.png,HGG\seg\patient036_slice076.png
HGG\flair\patient189_slice079.png,HGG\seg\patient189_slice079.png
HGG\flair\patient003_slice092.png,HGG\seg\patient003_slice092.png
HGG\flair\patient128_slice103.png,HGG\seg\patient128_slice103.png
HGG\flair\patient074_slice073.png,HGG\seg\patient074_slice073.png
HGG\flair\patient115_slice100.png,HGG\seg\patient115_slice100.png
LGG\flair\patient048_slice079.png,LGG\seg\patient048_slice079.png
HGG\flair\patient047_slice087.png,HGG\seg\patient047_slice087.png
HGG\flair\patient248_slice077.png,HGG\seg\patient248_slice077.png
HGG\flair\patient089_slice071.png,HGG\seg\patient089_slice071.png
LGG\flair\patient031_slice104.png,LGG\seg\patient031_slice104.png
HGG\flair\patient044_slice108.png,HGG\seg\patient044_slice108.png
LGG\flair\patient066_slice082.png,LGG\seg\patient066_slice082.png
LGG\flair\patient075_slice096.png,LGG\seg\patient075_slice096.png
HGG\flair\patient156_slice080.png,HGG\seg\patient156_slice080.png
LGG\flair\patient070_slice106.png,LGG\seg\patient070_slice106.png
HGG\flair\patient031_slice107.png,HGG\seg\patient031_slice107.png
HGG\flair\patient004_slice091.png,HGG\seg\patient004_slice091.png
HGG\flair\patient110_slice083.png,HGG\seg\patient110_slice083.png
HGG\flair\patient106_slice070.png,HGG\seg\patient106_slice070.png
HGG\flair\patient054_slice090.png,HGG\seg\patient054_slice090.png
LGG\flair\patient038_slice096.png,LGG\seg\patient038_slice096.png
HGG\flair\patient021_slice079.png,HGG\seg\patient021_slice079.png
HGG\flair\patient105_slice078.png,HGG\seg\patient105_slice078.png
HGG\flair\patient122_slice096.png,HGG\seg\patient122_slice096.png
HGG\flair\patient092_slice080.png,HGG\seg\patient092_slice080.png
HGG\flair\patient037_slice096.png,HGG\seg\patient037_slice096.png
HGG\flair\patient027_slice082.png,HGG\seg\patient027_slice082.png
HGG\flair\patient250_slice091.png,HGG\seg\patient250_slice091.png
HGG\flair\patient147_slice072.png,HGG\seg\patient147_slice072.png
LGG\flair\patient016_slice099.png,LGG\seg\patient016_slice099.png
HGG\flair\patient069_slice087.png,HGG\seg\patient069_slice087.png
HGG\flair\patient236_slice088.png,HGG\seg\patient236_slice088.png
LGG\flair\patient068_slice074.png,LGG\seg\patient068_slice074.png
HGG\flair\patient235_slice095.png,HGG\seg\patient235_slice095.png
HGG\flair\patient057_slice092.png,HGG\seg\patient057_slice092.png
HGG\flair\patient245_slice093.png,HGG\seg\patient245_slice093.png
HGG\flair\patient043_slice102.png,HGG\seg\patient043_slice102.png
HGG\flair\patient061_slice072.png,HGG\seg\patient061_slice072.png
LGG\flair\patient003_slice082.png,LGG\seg\patient003_slice082.png
HGG\flair\patient168_slice089.png,HGG\seg\patient168_slice089.png
LGG\flair\patient005_slice094.png,LGG\seg\patient005_slice094.png
LGG\flair\patient067_slice095.png,LGG\seg\patient067_slice095.png
HGG\flair\patient003_slice074.png,HGG\seg\patient003_slice074.png
HGG\flair\patient021_slice071.png,HGG\seg\patient021_slice071.png
HGG\flair\patient258_slice089.png,HGG\seg\patient258_slice089.png
HGG\flair\patient069_slice077.png,HGG\seg\patient069_slice077.png
HGG\flair\patient189_slice099.png,HGG\seg\patient189_slice099.png
HGG\flair\patient008_slice084.png,HGG\seg\patient008_slice084.png
HGG\flair\patient174_slice102.png,HGG\seg\patient174_slice102.png
HGG\flair\patient101_slice082.png,HGG\seg\patient101_slice082.png
HGG\flair\patient107_slice118.png,HGG\seg\patient107_slice118.png
HGG\flair\patient044_slice118.png,HGG\seg\patient044_slice118.png
HGG\flair\patient158_slice109.png,HGG\seg\patient158_slice109.png
HGG\flair\patient078_slice115.png,HGG\seg\patient078_slice115.png
HGG\flair\patient001_slice078.png,HGG\seg\patient001_slice078.png
LGG\flair\patient038_slice116.png,LGG\seg\patient038_slice116.png
HGG\flair\patient155_slice071.png,HGG\seg\patient155_slice071.png
HGG\flair\patient068_slice105.png,HGG\seg\patient068_slice105.png
HGG\flair\patient206_slice078.png,HGG\seg\patient206_slice078.png
HGG\flair\patient170_slice098.png,HGG\seg\patient170_slice098.png
HGG\flair\patient198_slice106.png,HGG\seg\patient198_slice106.png
HGG\flair\patient176_slice117.png,HGG\seg\patient176_slice117.png
HGG\flair\patient187_slice099.png,HGG\seg\patient187_slice099.png
HGG\flair\patient155_slice093.png,HGG\seg\patient155_slice093.png
LGG\flair\patient021_slice099.png,LGG\seg\patient021_slice099.png
HGG\flair\patient166_slice097.png,HGG\seg\patient166_slice097.png
HGG\flair\patient019_slice117.png,HGG\seg\patient019_slice117.png
LGG\flair\patient020_slice097.png,LGG\seg\patient020_slice097.png
LGG\flair\patient043_slice091.png,LGG\seg\patient043_slice091.png
LGG\flair\patient026_slice092.png,LGG\seg\patient026_slice092.png
LGG\flair\patient016_slice072.png,LGG\seg\patient016_slice072.png
LGG\flair\patient071_slice111.png,LGG\seg\patient071_slice111.png
LGG\flair\patient066_slice076.png,LGG\seg\patient066_slice076.png
HGG\flair\patient007_slice094.png,HGG\seg\patient007_slice094.png
HGG\flair\patient163_slice118.png,HGG\seg\patient163_slice118.png
HGG\flair\patient259_slice117.png,HGG\seg\patient259_slice117.png
HGG\flair\patient232_slice088.png,HGG\seg\patient232_slice088.png
HGG\flair\patient033_slice116.png,HGG\seg\patient033_slice116.png
HGG\flair\patient205_slice098.png,HGG\seg\patient205_slice098.png
HGG\flair\patient068_slice079.png,HGG\seg\patient068_slice079.png
LGG\flair\patient057_slice085.png,LGG\seg\patient057_slice085.png
HGG\flair\patient093_slice089.png,HGG\seg\patient093_slice089.png
HGG\flair\patient253_slice089.png,HGG\seg\patient253_slice089.png
HGG\flair\patient079_slice078.png,HGG\seg\patient079_slice078.png
HGG\flair\patient093_slice090.png,HGG\seg\patient093_slice090.png
HGG\flair\patient158_slice094.png,HGG\seg\patient158_slice094.png
HGG\flair\patient053_slice079.png,HGG\seg\patient053_slice079.png
LGG\flair\patient040_slice111.png,LGG\seg\patient040_slice111.png
LGG\flair\patient020_slice081.png,LGG\seg\patient020_slice081.png
HGG\flair\patient076_slice088.png,HGG\seg\patient076_slice088.png
HGG\flair\patient194_slice109.png,HGG\seg\patient194_slice109.png
HGG\flair\patient022_slice072.png,HGG\seg\patient022_slice072.png
HGG\flair\patient092_slice094.png,HGG\seg\patient092_slice094.png
HGG\flair\patient240_slice110.png,HGG\seg\patient240_slice110.png
HGG\flair\patient132_slice104.png,HGG\seg\patient132_slice104.png
HGG\flair\patient054_slice078.png,HGG\seg\patient054_slice078.png
HGG\flair\patient093_slice087.png,HGG\seg\patient093_slice087.png
HGG\flair\patient075_slice070.png,HGG\seg\patient075_slice070.png
LGG\flair\patient018_slice080.png,LGG\seg\patient018_slice080.png
HGG\flair\patient250_slice103.png,HGG\seg\patient250_slice103.png
HGG\flair\patient030_slice088.png,HGG\seg\patient030_slice088.png
HGG\flair\patient242_slice071.png,HGG\seg\patient242_slice071.png
LGG\flair\patient053_slice078.png,LGG\seg\patient053_slice078.png
HGG\flair\patient259_slice080.png,HGG\seg\patient259_slice080.png
HGG\flair\patient094_slice076.png,HGG\seg\patient094_slice076.png
HGG\flair\patient130_slice099.png,HGG\seg\patient130_slice099.png
HGG\flair\patient238_slice099.png,HGG\seg\patient238_slice099.png
HGG\flair\patient193_slice084.png,HGG\seg\patient193_slice084.png
HGG\flair\patient138_slice098.png,HGG\seg\patient138_slice098.png
HGG\flair\patient155_slice097.png,HGG\seg\patient155_slice097.png
HGG\flair\patient010_slice099.png,HGG\seg\patient010_slice099.png
HGG\flair\patient211_slice073.png,HGG\seg\patient211_slice073.png
LGG\flair\patient040_slice087.png,LGG\seg\patient040_slice087.png
HGG\flair\patient128_slice080.png,HGG\seg\patient128_slice080.png
HGG\flair\patient087_slice071.png,HGG\seg\patient087_slice071.png
HGG\flair\patient224_slice097.png,HGG\seg\patient224_slice097.png
HGG\flair\patient072_slice096.png,HGG\seg\patient072_slice096.png
HGG\flair\patient031_slice093.png,HGG\seg\patient031_slice093.png
LGG\flair\patient066_slice084.png,LGG\seg\patient066_slice084.png
HGG\flair\patient006_slice109.png,HGG\seg\patient006_slice109.png
HGG\flair\patient198_slice096.png,HGG\seg\patient198_slice096.png
LGG\flair\patient032_slice118.png,LGG\seg\patient032_slice118.png
HGG\flair\patient127_slice076.png,HGG\seg\patient127_slice076.png
HGG\flair\patient176_slice118.png,HGG\seg\patient176_slice118.png
HGG\flair\patient074_slice087.png,HGG\seg\patient074_slice087.png
HGG\flair\patient031_slice096.png,HGG\seg\patient031_slice096.png
HGG\flair\patient109_slice081.png,HGG\seg\patient109_slice081.png
